gir1.2-mutter-14	46.2-1ubuntu0.24.04.16	amd64
gir1.2-nm-1.0	1.46.0-1ubuntu2.8	amd64
gir1.2-nma4-1.0	1.10.6-3build2	amd64
gir1.2-notify-0.7	0.8.3-1build2	amd64
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5	amd64
gir1.2-pango-1.0	1.52.1+ds-1build1	amd64
gir1.2-peas-1.0	1.36.0-3build4	amd64
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3	amd64
gir1.2-rsvg-2.0	2.58.0+dfsg-1build1	amd64
gir1.2-secret-1	0.21.4-1build3	amd64
gir1.2-snapd-2	1.64-0ubuntu5	amd64
gir1.2-soup-3.0	3.4.4-5ubuntu0.7	amd64
gir1.2-upowerglib-1.0	1.90.3-1	amd64
gir1.2-vte-2.91	0.76.0-1ubuntu0.1	amd64
gir1.2-webkit-6.0	2.52.6-0ubuntu0.24.04.1	amd64
gir1.2-webkit2-4.1	2.52.6-0ubuntu0.24.04.1	amd64
gir1.2-wnck-3.0	43.0-3build4	amd64
git	1:2.43.0-1ubuntu7.3	amd64
git-man	1:2.43.0-1ubuntu7.3	all
github-desktop	3.4.1-linux1	amd64
gjs	1.80.2-1build2	amd64
gkbd-capplet	3.28.1-1build3	amd64
glib-networking	2.80.0-1build1	amd64
glib-networking-common	2.80.0-1build1	all
glib-networking-services	2.80.0-1build1	amd64
glslang-dev	15.1.0-2~ubuntu0.24.04.2	amd64
glslc	2023.8-1build1	amd64
gnome-accessibility-themes	3.28-2ubuntu5	all
gnome-bluetooth-3-common	46.0-1ubuntu1	all
gnome-bluetooth-sendto	46.0-1ubuntu1	amd64
gnome-calculator	1:46.3-0ubuntu0.1	amd64
gnome-characters	46.0-1build1	amd64
gnome-clocks	46.0-1build1	amd64
gnome-control-center	1:46.7-0ubuntu0.24.04.6	amd64
gnome-control-center-data	1:46.7-0ubuntu0.24.04.6	all
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.6	all
gnome-desktop3-data	44.0-5build2	all
gnome-disk-utility	46.0-1ubuntu3	amd64
gnome-font-viewer	46.0-1build1	amd64
gnome-initial-setup	46.3-1ubuntu3~24.04.2	amd64
gnome-keyring	46.1-2ubuntu0.2	amd64
gnome-keyring-pkcs11	46.1-2ubuntu0.2	amd64
gnome-logs	45.0-1build1	amd64
gnome-menus	3.36.0-1.1ubuntu3	amd64
gnome-online-accounts	3.50.4-0ubuntu2	amd64
gnome-power-manager	43.0-2build2	amd64
gnome-remote-desktop	46.3-0ubuntu1.2	amd64
gnome-session-bin	46.0-1ubuntu4	amd64
gnome-session-canberra	0.30-10ubuntu10	amd64
gnome-session-common	46.0-1ubuntu4	all
gnome-settings-daemon	46.0-1ubuntu1.24.04.1	amd64
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1	all
gnome-shell	46.0-0ubuntu6~24.04.14	amd64
gnome-shell-common	46.0-0ubuntu6~24.04.14	all
gnome-shell-extension-appindicator	58-1ubuntu24.04.1	all
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5	all
gnome-shell-extension-gpaste	45-2ubuntu5	all
gnome-shell-extension-ubuntu-dock	90ubuntu3	all
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1	all
gnome-startup-applications	46.0-1ubuntu4	amd64
gnome-system-monitor	46.0-1build1	amd64
gnome-terminal	3.52.0-1ubuntu2	amd64
gnome-terminal-data	3.52.0-1ubuntu2	all
gnome-text-editor	46.3-0ubuntu2	amd64
gnome-themes-extra	3.28-2ubuntu5	amd64
gnome-themes-extra-data	3.28-2ubuntu5	all
gnome-user-docs	46.0-1ubuntu1	all
gnupg	2.4.4-2ubuntu17.6	all
gnupg-l10n	2.4.4-2ubuntu17.6	all
gnupg-utils	2.4.4-2ubuntu17.6	amd64
google-chrome-stable	153.0.8010.36-1	amd64
google-mock	1.14.0-1	amd64
googletest	1.14.0-1	all
gpaste-2	45-2ubuntu5	amd64
gpg	2.4.4-2ubuntu17.6	amd64
gpg-agent	2.4.4-2ubuntu17.6	amd64
gpg-wks-client	2.4.4-2ubuntu17.6	amd64
gpgconf	2.4.4-2ubuntu17.6	amd64
gpgsm	2.4.4-2ubuntu17.6	amd64
gpgv	2.4.4-2ubuntu17.6	amd64
graphviz	2.42.2-9ubuntu0.1	amd64
grep	3.11-4build1	amd64
groff-base	1.23.0-3build2	amd64
grub-common	2.12-1ubuntu7.3	amd64
grub-efi-amd64	2.12-1ubuntu7.3	amd64
grub-efi-amd64-bin	2.12-1ubuntu7.3	amd64
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3	amd64
grub2-common	2.12-1ubuntu7.3	amd64
gsettings-desktop-schemas	46.1-0ubuntu1	all
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3	all
gstreamer1.0-alsa	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-gl	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-icamera	0~git202509260937.4fb31db~ubuntu24.04.5	amd64
gstreamer1.0-packagekit	1.2.8-2ubuntu1.5	amd64
gstreamer1.0-pipewire	1.0.5-1ubuntu3.4~oem1	amd64
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-plugins-good	1.24.2-1ubuntu1.5	amd64
gstreamer1.0-tools	1.24.2-1ubuntu0.1	amd64
gstreamer1.0-x	1.24.2-1ubuntu0.4	amd64
gtk-update-icon-cache	3.24.41-4ubuntu1.3	amd64
gtk2-engines-murrine	0.98.2-4	amd64
gtk2-engines-pixbuf	2.24.33-4ubuntu1.1	amd64
gvfs	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-backends	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-common	1.54.4-0ubuntu1~24.04.2	all
gvfs-daemons	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-fuse	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-libs	1.54.4-0ubuntu1~24.04.2	amd64
gzip	1.12-1ubuntu3.2	amd64
hdf5-helpers	1.10.10+repack-3.1ubuntu4	amd64
hdparm	9.65+ds-1build1	amd64
heif-gdk-pixbuf	1.17.6-1ubuntu4.8	amd64
heif-thumbnailer	1.17.6-1ubuntu4.8	amd64
hicolor-icon-theme	0.17-2	all
hostname	3.23+nmu2ubuntu2	amd64
hplip	3.23.12+dfsg0-0ubuntu5.1	amd64
hplip-data	3.23.12+dfsg0-0ubuntu5.1	all
humanity-icon-theme	0.6.16	all
hunspell-en-us	1:2020.12.07-2	all
hwdata	0.379-1	all
i965-va-driver	2.4.1+dfsg1-1ubuntu0.2	amd64
i965-va-driver	2.4.1+dfsg1-1ubuntu0.2	i386
ibus	1.5.29-2	amd64
ibus-data	1.5.29-2	all
ibus-gtk	1.5.29-2	amd64
ibus-gtk3	1.5.29-2	amd64
ibus-gtk4	1.5.29-2	amd64
ibus-table	1.17.4-2	all
ibus-table-cangjie-big	1.8.12-1	all
ibus-table-cangjie3	1.8.12-1	all
ibus-table-cangjie5	1.8.12-1	all
ibverbs-providers	50.0-2ubuntu0.2	amd64
icu-devtools	74.2-1ubuntu3.1	amd64
ieee-data	20220827.1	all
iio-sensor-proxy	3.5-1build2	amd64
im-config	0.57-2	all
inetutils-telnet	2:2.5-3ubuntu4.2	amd64
info	7.1-3build2	amd64
init	1.66ubuntu1	amd64
init-system-helpers	1.66ubuntu1	all
initramfs-tools	0.142ubuntu25.8	all
initramfs-tools-bin	0.142ubuntu25.8	amd64
initramfs-tools-core	0.142ubuntu25.8	all
inputattach	1:1.8.1-2build1	amd64
install-info	7.1-3build2	amd64
intel-media-va-driver	24.1.0+dfsg1-1ubuntu0.2	amd64
intel-media-va-driver	24.1.0+dfsg1-1ubuntu0.2	i386
intel-microcode	3.20260210.0ubuntu0.24.04.1	amd64
inxi	3.3.34-1-1	all
ipp-usb	0.9.24-0ubuntu3.3	amd64
iproute2	6.1.0-1ubuntu6.4	amd64
iptables	1.8.10-3ubuntu2	amd64
iputils-ping	3:20240117-1ubuntu0.1	amd64
iputils-tracepath	3:20240117-1ubuntu0.1	amd64
